STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;NSH_TAG;eor
        722;18960426;    1;   4.3;   4;  20;-999;eor
        722;18960427;    1;   6.6;   4;   5;-999;eor
        722;18960428;    1;  11.4;   4;   0;-999;eor
        722;18960429;    1;   2.1;   4;   0;-999;eor
        722;18960430;    1;   0.4;   4;   0;-999;eor
        722;18960501;    1;   0.0;   0;   5;-999;eor
        722;18960502;    1;   0.0;   0;   0;-999;eor
        722;18960503;    1;   0.0;   0;   0;-999;eor
        722;18960504;    1;   0.0;   0;   0;-999;eor
        722;18960505;    1;   0.3;   4;   0;-999;eor
        722;18960506;    1;   0.5;   4;   0;-999;eor
        722;18960507;    1;   0.3;   4;   0;-999;eor
        722;18960508;    1;   0.0;   0;   0;-999;eor
        722;18960509;    1;   0.0;   0;   0;-999;eor
        722;18960510;    1;   0.0;   0;   0;-999;eor
        722;18960511;    1;   0.4;   4;   0;-999;eor
        722;18960512;    1;   0.3;   4;   0;-999;eor
        722;18960513;    1;   0.3;   4;   0;-999;eor
        722;18960514;    1;   0.0;   0;   0;-999;eor
        722;18960515;    1;  10.3;   4;   0;-999;eor
        722;18960516;    1;   2.4;   4;   0;-999;eor
        722;18960517;    1;   2.3;   4;   0;-999;eor
        722;18960518;    1;   2.1;   4;   0;-999;eor
        722;18960519;    1;   9.4;   4;   0;-999;eor
        722;18960520;    1;   3.1;   4;   5;-999;eor
        722;18960521;    1;   1.8;   4;   5;-999;eor
        722;18960522;    1;   0.3;   4;   0;-999;eor
        722;18960523;    1;   0.0;   0;   0;-999;eor
        722;18960524;    1;   0.0;   0;   0;-999;eor
        722;18960525;    1;   0.0;   0;   0;-999;eor
        722;18960526;    1;   2.1;   4;   0;-999;eor
        722;18960527;    1;   0.4;   4;   0;-999;eor
        722;18960528;    1;   0.3;   4;   0;-999;eor
        722;18960529;    1;   1.7;   4;   0;-999;eor
        722;18960530;    1;   0.4;   4;   0;-999;eor
        722;18960531;    1;   0.0;   0;   0;-999;eor
        722;18960601;    1;   0.0;   0;   0;-999;eor
        722;18960602;    1;   0.0;   0;   0;-999;eor
        722;18960603;    1;   0.0;   0;   0;-999;eor
        722;18960604;    1;  11.2;   1;   0;-999;eor
        722;18960605;    1;  20.0;   1;   0;-999;eor
        722;18960606;    1;   6.5;   1;   0;-999;eor
        722;18960607;    1;   7.2;   1;   0;-999;eor
        722;18960608;    1;   0.0;   0;   0;-999;eor
        722;18960609;    1;   1.1;   1;   0;-999;eor
        722;18960610;    1;  20.4;   1;   0;-999;eor
        722;18960611;    1;  43.6;   1;   0;-999;eor
        722;18960612;    1;   3.6;   1;   0;-999;eor
        722;18960613;    1;   2.7;   1;   0;-999;eor
        722;18960614;    1;   0.0;   0;   0;-999;eor
        722;18960615;    1;   0.0;   0;   0;-999;eor
        722;18960616;    1;   0.0;   0;   0;-999;eor
        722;18960617;    1;  33.4;   1;   0;-999;eor
        722;18960618;    1;  43.0;   1;   0;-999;eor
        722;18960619;    1;   0.0;   0;   0;-999;eor
        722;18960620;    1;   1.9;   1;   0;-999;eor
        722;18960621;    1;   1.3;   1;   0;-999;eor
        722;18960622;    1;   7.1;   1;   0;-999;eor
        722;18960623;    1;   3.4;   1;   0;-999;eor
        722;18960624;    1;   4.7;   1;   0;-999;eor
        722;18960625;    1;   1.8;   1;   0;-999;eor
        722;18960626;    1;   2.4;   1;   0;-999;eor
        722;18960627;    1;   0.0;   0;   0;-999;eor
        722;18960628;    1;   3.8;   1;   0;-999;eor
        722;18960629;    1;   7.2;   1;   0;-999;eor
